dates,gdp,p_elec,c_cement,m_ind_inp,cred_mn
2012-04-01,3.1971543641672,5.58666516754045,16.1901299200322,-0.477823424299414,17.6928395696108
2012-05-01,6.91715161112923,5.78123356742048,15.7401737176869,9.0795679399149,16.6376783503059
2012-06-01,7.53634298064302,5.06335892086446,20.148460450955,7.67757286378781,16.9854355496797
2012-07-01,7.25263229206627,6.69625024857899,23.1540084671869,29.7050973925467,17.334738165985
2012-08-01,7.06201511835349,6.22999547731221,17.3022525726852,15.6429904022096,18.2874767598427
2012-09-01,6.74545929618876,5.25261937859475,18.9043244421612,5.19706631516204,18.4365689832138
2012-10-01,7.41629724369045,3.31898730417956,17.0230022341323,24.937090542199,17.1068512529895
2012-11-01,6.06172701756083,6.83009170909909,16.8746973041016,14.6847903914026,16.3766097765831
2012-12-01,3.42494966527784,5.87909060914165,4.2005148325682,-2.158167989023,16.0027044088131
2013-01-01,6.4551260650703,7.36207332908693,18.6481828206527,5.83618761121879,15.4790185556035
2013-02-01,5.08598303215693,4.83069988397503,14.1455065452879,2.35438964660813,15.3677781568376
2013-03-01,3.50629346857448,4.83179238203405,3.00185025262513,-5.09889138607049,16.0919078945121
2013-04-01,8.8205018732133,7.44506339556839,24.3971132503109,9.79107038401469,17.0869567170487
2013-05-01,4.26271790648706,7.06045149205957,12.5088101434519,7.20136747222353,17.2996335000103
2013-06-01,5.8546888132968,7.32932707565932,6.74141506432957,-4.34566071840568,17.7660200417821
2013-07-01,5.31153295309528,7.0657941380129,11.18424286356,-9.55273342123766,18.0724896446544
2013-08-01,5.50542757299696,5.35159931594181,8.20363188976178,0.851966615949349,19.4304869986948
2013-09-01,4.8632951429381,6.28542443877216,0.0927963459561205,-1.58177315779911,20.4721262406184
2013-10-01,6.20873667817955,9.09481993771897,8.2410039295971,-3.99201127588838,21.959009682705
2013-11-01,7.28269427581518,5.0277783891364,3.49417661683014,-9.85678527673751,23.1118955353533
2013-12-01,7.03334656658037,5.20755148416581,6.61424462943442,1.7822602202067,22.5720645134384
2014-01-01,4.22826603082261,5.85596396397303,1.35775303449629,-6.73606379070652,23.2687456273566
2014-02-01,5.20837610490235,6.93389873357664,6.61860867096833,-2.66768698053259,24.72394765024
2014-03-01,5.41238332623403,6.90677904165381,5.68787740962946,0.538244383037691,24.917942083835
2014-04-01,2.9233982146105,5.07285752692081,-2.59440463248726,1.30536705003648,23.8632160476714
2014-05-01,2.59065585227958,5.282044691102,5.41177778739461,-9.03733423744008,23.9285597221321
2014-06-01,0.378221179151531,4.94259716535491,4.12645127374747,9.39029077596685,22.0538632141176
2014-07-01,1.44995260603492,4.95117089364154,-2.07010748806165,-3.52374627583492,20.696307856106
2014-08-01,1.35323588063804,4.57133093238786,-0.144469612884691,-6.63341928439367,19.040744034834
2014-09-01,2.67311760158149,5.28345002733885,7.25219250351591,9.18332839008954,17.9136624561257
2014-10-01,2.27321641574081,5.16617856973622,-1.02089644624682,1.00694363892601,17.7199637739926
2014-11-01,0.156922772224462,4.87832913346684,4.82372361038443,7.0064184894358,17.817430399976
2014-12-01,0.793469316171314,4.69874343756566,4.89146781733466,4.50540219727212,17.7449842101337
2015-01-01,1.55948479660677,4.98166541625625,0.181144010889773,3.20121738813344,17.7071072685726
2015-02-01,1.2316037100905,3.74470688106519,-5.6565747751745,6.98386126833265,16.8416321524652
2015-03-01,2.93426545275299,5.67986108959335,1.63911817845825,9.0161184268132,18.8850514519305
2015-04-01,4.19551519613663,5.45363123331807,-6.00601548216631,-6.47622101696577,21.6553434818991
2015-05-01,1.28094039087246,5.39798004732971,-8.2061670570306,-4.17883481213271,22.7150750496208
2015-06-01,4.0836462857697,5.70247113298132,-1.04203393393432,5.73600822218382,24.2117893492027
2015-07-01,3.60161083067851,5.38302285731059,-4.11965947223447,0.541475959375673,25.7710182381832
2015-08-01,2.66915507108363,7.06142798437486,-1.38614699373584,1.16536443431972,27.7511806757134
2015-09-01,3.18889733896498,6.98534992637296,-1.82313942979743,-3.01759556009131,29.4644094638023
2015-10-01,3.27568484463924,8.06150270705443,1.98986733468792,-5.92721554306245,28.9299647430709
2015-11-01,3.94600962134691,7.90484463060179,-3.85405524871378,3.1785229255875,28.7125079555334
2015-12-01,6.51225206037745,10.9158955305882,0.319150145856653,3.08811745561831,28.0369134484151
2016-01-01,3.54847638364736,9.43765300365475,1.6593667088669,0.255507692008996,28.905938032616
2016-02-01,6.43351215410213,15.6748821572758,4.90908870107372,-4.90693454256354,28.1829094171584
2016-03-01,3.5588022180679,9.42571397706908,-0.925927233817768,-3.96345561207794,24.0541328210007
2016-04-01,2.77588635524289,10.7830505461931,4.32667786101978,-2.31810629412333,21.4869396370036
2016-05-01,4.88216799029764,8.03755774023323,2.69469545336512,-3.93526944712317,18.5590025972905
2016-06-01,3.58486334586281,6.68063303334615,-3.05041933932579,-3.90063467205445,17.0351519808786
2016-07-01,3.58439761415899,8.03713365909165,-3.83950165724023,-8.02829566576346,15.4915989991122
2016-08-01,5.77399230726298,8.04391783584663,-4.08977302912851,6.82362045555978,11.9857456399066
2016-09-01,4.50489667836053,7.98745375682404,-6.86349860803271,-1.27255149247766,9.49330015307999
2016-10-01,2.1717791656506,6.18374512134535,-11.3036997499955,6.80418462780321,8.45332281867437
2016-11-01,3.50243932083038,7.05958933601902,-5.0711840648982,-1.1114845066392,7.59510465636037
2016-12-01,3.4586206265329,5.87836807945695,-4.06828397362223,-1.72199343004236,7.17019607832073
2017-01-01,5.0359265763863,6.57223251798123,-6.89353888081153,0.143017595215339,5.5280594804632
2017-02-01,0.799045442945845,-1.577119111674,-4.84055482384194,5.03191795451422,5.09599399697399
2017-03-01,1.16785084496737,1.07932939909131,-5.84987363574706,7.83071200713639,4.44666742878158
2017-04-01,0.309612142949002,-0.405689073857203,-9.27735154473012,-0.951475206049583,3.52775621967375
2017-05-01,3.65192073827642,3.34036116561578,-2.03050358934393,16.2132306630761,4.04222336991821
2017-06-01,3.96408169637873,3.55289553059957,2.91319368490695,-2.33902962146027,3.923316614016
2017-07-01,2.22156658223441,1.18270258156133,1.67833622523027,7.98873134092564,3.94492516756375
2017-08-01,2.85259367810618,1.96174465181054,3.64184434516303,3.68730030841094,4.79090558994542
2017-09-01,3.3478893534525,1.58442524149239,4.3739690836154,-4.13820948654948,5.15587481627111
2017-10-01,3.60795139962095,0.98639405206303,6.72827091133958,14.0758269826016,5.22033108526621
2017-11-01,2.03279154285423,0.140478452486314,3.75000000000008,3.1989148532811,4.8198317282694
2017-12-01,1.42370192522017,-0.593908068631519,6.88595172648007,5.61654867983157,5.30883503654416
2018-01-01,2.83425635993389,-0.390390239490122,6.54638589352643,7.53132158479942,5.98926510757821
2018-02-01,2.67091256730793,1.76117421899894,4.64499894027337,2.07702237570324,6.48345753671996
2018-03-01,3.84498332433214,3.37998400862178,4.47424869938415,-1.98993867651297,7.44495234782739
2018-04-01,8.05993072888104,6.16087112347956,7.93504226569381,15.655888394659,8.48220830598257
